country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Delhi,Delhi,"NSIT Dwarka, Delhi - CPCB","02-12-2025 22:00:00",28.60909,77.0325413,NH3,8,17,13
India,Gujarat,Ahmedabad,"SAC ISRO Satellite, Ahmedabad - IITM","02-12-2025 22:00:00",23.023389,72.515201,PM2.5,52,173,92
India,Gujarat,Ahmedabad,"SAC ISRO Satellite, Ahmedabad - IITM","02-12-2025 22:00:00",23.023389,72.515201,PM10,70,143,101
India,Gujarat,Ankleshwar,"GIDC, Ankleshwar - GPCB","02-12-2025 22:00:00",21.613267,73.010555,NH3,5,8,6
India,Delhi,Delhi,"Vivek Vihar, Delhi - DPCC","02-12-2025 22:00:00",28.672342,77.315260,NO2,78,150,108
India,Delhi,Delhi,"Vivek Vihar, Delhi - DPCC","02-12-2025 22:00:00",28.672342,77.315260,OZONE,4,224,94
India,Gujarat,Ahmedabad,"Chandkheda, Ahmedabad - IITM","02-12-2025 22:00:00",23.107969,72.574648,PM10,71,286,137
India,Gujarat,Vatva,"Phase-4 GIDC, Vatva - GPCB","02-12-2025 22:00:00",22.969611,72.643500,NH3,6,11,9
India,Gujarat,Vatva,"Phase-4 GIDC, Vatva - GPCB","02-12-2025 22:00:00",22.969611,72.643500,SO2,18,44,32
India,Gujarat,Vatva,"Phase-4 GIDC, Vatva - GPCB","02-12-2025 22:00:00",22.969611,72.643500,OZONE,20,46,37
India,Haryana,Ambala,"Patti Mehar, Ambala - HSPCB","02-12-2025 22:00:00",30.379589,76.778328,PM10,99,124,103
India,Haryana,Ambala,"Patti Mehar, Ambala - HSPCB","02-12-2025 22:00:00",30.379589,76.778328,CO,97,101,99
India,Haryana,Ambala,"Patti Mehar, Ambala - HSPCB","02-12-2025 22:00:00",30.379589,76.778328,OZONE,48,52,50
India,Haryana,Bahadurgarh,"Arya Nagar, Bahadurgarh - HSPCB","02-12-2025 22:00:00",28.6701,76.9254,PM2.5,100,393,316
India,Haryana,Bahadurgarh,"Arya Nagar, Bahadurgarh - HSPCB","02-12-2025 22:00:00",28.6701,76.9254,SO2,7,7,7
India,Haryana,Ballabgarh,"Nathu Colony, Ballabgarh - HSPCB","02-12-2025 22:00:00",28.3419248,77.319699,PM10,150,151,150
India,Haryana,Bhiwani,"H.B. Colony, Bhiwani - HSPCB","02-12-2025 22:00:00",28.806223,76.141105,NO2,1,35,31
India,Haryana,Bhiwani,"H.B. Colony, Bhiwani - HSPCB","02-12-2025 22:00:00",28.806223,76.141105,SO2,12,13,12
India,Haryana,"Charkhi Dadri","Mini Secretariat, Charkhi Dadri - HSPCB","02-12-2025 22:00:00",28.593883,76.270653,NO2,9,22,15
India,Haryana,"Charkhi Dadri","Mini Secretariat, Charkhi Dadri - HSPCB","02-12-2025 22:00:00",28.593883,76.270653,NH3,5,8,6
India,Haryana,"Charkhi Dadri","Mini Secretariat, Charkhi Dadri - HSPCB","02-12-2025 22:00:00",28.593883,76.270653,OZONE,14,17,15
India,Haryana,Dharuhera,"Municipal Corporation Office, Dharuhera -  HSPCB","02-12-2025 22:00:00",28.206800,76.799700,SO2,10,23,15
India,Haryana,Faridabad,"New Industrial Town, Faridabad - HSPCB","02-12-2025 22:00:00",28.39072,77.30059,PM2.5,222,239,229
